UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long
AUTO THEFT,201300660,5/9/2020,123 LUCKIE ST,508,Downtown,M,33.75798,-84.38978
AUTO THEFT,201300663,5/9/2020,938 MATHEWS ST SW,401,West End,T,33.73454,-84.41849
LARCENY,201290930,5/8/2020,950 W PEACHTREE ST NW @PUBLIX - W PEACHTREE,503,Midtown,E,33.78014,-84.38747
LARCENY,201290933,5/8/2020,675 METROPOLITAN PKWY SW,301,Adair Park,V,33.73657,-84.40824
BURGLARY,201290937,5/8/2020,1406 DESOTO AVE SW,301,Capitol View,X,33.71649,-84.41162
BURGLARY,201291021,5/8/2020,1676 BRIARCLIFF RD NE,613,Morningside/Lenox Park,F,33.80298,-84.33849
LARCENY,201291023,5/8/2020,222 TUSKEGEE ST SE,304,Peoplestown,V,33.72868,-84.38092
AUTO THEFT,201291145,5/8/2020,247 MORELAND AVE SE,606,Reynoldstown,N,33.74699,-84.34958
LARCENY,201291170,5/8/2020,1396 ANIWAKA AVE SW,408,Venetian Hills,S,33.71732,-84.44081
LARCENY,201291261,5/8/2020,400 EDGEWOOD AVE NE,604,Sweet Auburn,M,33.75464,-84.37465
LARCENY,201291426,5/8/2020,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457
LARCENY,201291434,5/8/2020,650 PONCE DE LEON AVE NE @Multiple,614,Midtown,E,33.77469,-84.36561
LARCENY,201291494,5/8/2020,860 PEACHTREE ST NE,505,Midtown,E,33.7779,-84.38447
AGG ASSAULT,201291641,5/8/2020,I-75-85 SB EXPY SW / UNIVERSITY AVE SW,302,Pittsburgh,V,33.72213,-84.395
AGG ASSAULT,201291737,5/8/2020,I-75 SB EXPY SW / N CENTRAL AVE SW,312,Glenrose Heights,Z,33.65328,-84.39711
AGG ASSAULT,201291820,5/8/2020,2115 PIEDMONT RD NE,212,Morningside/Lenox Park,F,33.81274,-84.36659
AGG ASSAULT,201292012,5/8/2020,64 KIRKWOOD RD NE,610,Kirkwood,O,33.75346,-84.32197
BURGLARY,201292060,5/8/2020,401 ILLINOIS AVE NW,107,Grove Park,J,33.76618,-84.45151
AGG ASSAULT,201282066,5/8/2020,1350 MAYSON TURNER RD NW,106,Bankhead,K,33.76555,-84.43204
AGG ASSAULT,201282119,5/8/2020,1941 PINE OAK DR SW,404,Westwood Terrace,I,33.7361,-84.45103
BURGLARY,201290392,5/8/2020,1665 JONESBORO RD SE,307,Lakewood Heights,Y,33.70662,-84.37986
AUTO THEFT,201290496,5/8/2020,1454 WESTRIDGE RD SW,408,Venetian Hills,S,33.71594,-84.44649
LARCENY,201290563,5/8/2020,1077 CENTER ST NW,501,Home Park,E,33.78424,-84.4026
LARCENY,201290573,5/8/2020,1049 LAWTON AVE SW,402,Oakland City,S,33.72638,-84.42204
BURGLARY,201290583,5/8/2020,3716 TAMPA TRL SW,414,Tampa Park,P,33.67848,-84.51013
AGG ASSAULT,201290659,5/8/2020,1355 PEACHTREE ST NE,502,Midtown,E,33.79267,-84.38558
LARCENY,201290661,5/8/2020,287 CARLYLE PARK DR NE,609,Edgewood,O,33.76051,-84.33698
BURGLARY,201290815,5/8/2020,2345 CASCADE RD SW,406,Cascade Heights,I,33.72198,-84.46541
AUTO THEFT,201190763,5/8/2020,251 CANDLER RD SE,611,East Lake,O,33.74604,-84.29187
LARCENY,201221075,5/8/2020,2570 NORTHSIDE DR NW,205,Brandon,C,33.82548,-84.40821
AUTO THEFT,201280042,5/7/2020,5 CLEVELAND AVE SE,312,Glenrose Heights,Z,33.68089,-84.38851
BURGLARY,201280091,5/7/2020,3500 MARTIN L KING JR DR SW,407,Adamsville,H,33.75735,-84.50282
LARCENY,201280110,5/7/2020,1065  PEACHTREE ST NE,503,Midtown,E,33.78363,-84.38344
LARCENY,201280118,5/7/2020,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341
BURGLARY,201280257,5/7/2020,1971 AKRON DR SE,308,Thomasville Heights,Z,33.6998,-84.35274
BURGLARY,201280333,5/7/2020,4472 CAMPBELLTON RD SW,413,Elmco Estates,P,33.69572,-84.53464
AGG ASSAULT,201280392,5/7/2020,TROY ST NW / JOSEPH E BOONE BLVD NW,105,Hunter Hills,K,33.76352,-84.42723
BURGLARY,201280504,5/7/2020,1631 PAXON ST SE,610,Kirkwood,O,33.7505,-84.33396
LARCENY,201280532,5/7/2020,3050 MARTIN LUTHER KING JR DRIVE SW,405,Harland Terrace,I,33.75177,-84.4857
LARCENY,201280589,5/7/2020,930 HOWELL MILL RD NW,501,Home Park,E,33.77987,-84.41063
ROBBERY,201280659,5/7/2020,842 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73815,-84.41521
BURGLARY,201280715,5/7/2020,1002 WELCH ST SW,302,Pittsburgh,V,33.72759,-84.4046
LARCENY,201280795,5/7/2020,395 MORGAN PL SE,611,East Lake,O,33.74163,-84.29095
LARCENY,201280829,5/7/2020,525 GLEN IRIS DR NE,603,Old Fourth Ward,M,33.76889,-84.36668
LARCENY,201280993,5/7/2020,260 PEACHTREE ST NW @COASTAL STATES BLDG,508,Downtown,M,33.76149,-84.38789
AUTO THEFT,201280998,5/7/2020,201 MOURY AVE SW,305,The Villages at Carver,Y,33.71691,-84.39276
BURGLARY,201281003,5/7/2020,56 PEACHTREE VALLEY RD NE,207,,E,33.81095,-84.39123
LARCENY,201281082,5/7/2020,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
LARCENY,201281114,5/7/2020,2399 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82037,-84.36744
LARCENY,201281119,5/7/2020,1073 PIEDMONT AVENUE NE,502,Midtown,E,33.78174,-84.36869
AUTO THEFT,201281212,5/7/2020,433 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76128,-84.37323
AGG ASSAULT,201281214,5/7/2020,265 KIRKWOOD RD NE,610,Kirkwood,O,33.76,-84.3215
LARCENY,201281416,5/7/2020,204 PEACHTREE HILLS CIR NE,211,Peachtree Hills,B,33.81898,-84.37605
BURGLARY,201281704,5/7/2020,3941 PRINCETON LAKES PASS SW,414,Princeton Lakes,P,33.659,-84.51601
BURGLARY,201281807,5/7/2020,2400 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70382,-84.46637
LARCENY,201281971,5/7/2020,369 LINDBERGH DR NE,211,Peachtree Hills,B,33.82155,-84.37609
AUTO THEFT,201281976,5/7/2020,305 CENTENNIAL OLYMPIC P DR NW,508,Downtown,M,33.76292,-84.39191
AGG ASSAULT,201270051,5/6/2020,1240 OAKLAND DR SW,403,Oakland City,S,33.72138,-84.42733
AUTO THEFT,201270064,5/6/2020,116 JOHNSON RD NW,110,Grove Park,J,33.78387,-84.45162
BURGLARY,201270283,5/6/2020,2296 CASCADE RD SW,409,Adams Park,R,33.72187,-84.46386
AGG ASSAULT,201270368,5/6/2020,343 JOSEPH E LOWERY BLVD SW,104,West End,T,33.74139,-84.41754
BURGLARY,201270457,5/6/2020,196 PEACHTREE ST SW,512,Downtown,M,33.74908,-84.39419
BURGLARY,201270478,5/6/2020,3200 STONE RD SW,411,Greenbriar,R,33.6697,-84.49403
ROBBERY,201270557,5/6/2020,232 FORSYTH,512,Downtown,M,33.7521,-84.38955
BURGLARY,201270625,5/6/2020,595 RALPH DAVID ABERNATHY BLVD SW,303,Pittsburgh,V,33.73796,-84.40707
LARCENY,201270733,5/6/2020,3730 CARMIA DR SW @PUBLIX - CARMIA,414,Princeton Lakes,P,33.65573,-84.5109
LARCENY,201270751,5/6/2020,1 KING ARTHUR DR SW,412,,,0,0
LARCENY,201270757,5/6/2020,100 TERRACE DR NE,211,Peachtree Hills,B,33.82174,-84.3855
ROBBERY,201270779,5/6/2020,1675  MEMORIAL DR SE,610,Kirkwood,O,33.74716,-84.33286
AUTO THEFT,201270792,5/6/2020,650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE,614,Midtown,E,33.77469,-84.36561
AGG ASSAULT,201270853,5/6/2020,1309 DONALD LEE HOLLOWELL PKWY NW,106,,J,33.77248,-84.43014
AGG ASSAULT,201270861,5/6/2020,1988 LOIS PL NW,110,Grove Park,J,33.7843,-84.45327
LARCENY,201270862,5/6/2020,265 18TH ST NW,501,Atlantic Station,E,33.79275,-84.39694
BURGLARY,201270890,5/6/2020,800 JOSEPH E BOONE BLVD NW,102,Vine City,L,33.76318,-84.41358
LARCENY,201270917,5/6/2020,303 PARKWAY DR NE,604,Old Fourth Ward,M,33.76286,-84.37405
LARCENY,201270946,5/6/2020,3640 HAMPSHIRE PARK WAY SW,413,Ben Hill Pines,P,33.68231,-84.50781
LARCENY,201270964,5/6/2020,844 JETT ST NW,506,English Avenue,L,33.76722,-84.415
LARCENY,201270968,5/6/2020,361 LELAND TER NE,610,Kirkwood,O,33.76365,-84.31327
AUTO THEFT,201270981,5/6/2020,4270 W CLUB LN NE,209,Brookhaven,B,33.87147,-84.35491
LARCENY,201270994,5/6/2020,686 MARTIN L KING JR DR NW,102,Atlanta University Center,T,33.75468,-84.41008
AGG ASSAULT,201271013,5/6/2020,1505 HOWELL MILL RD NW,207,Berkeley Park,D,33.79584,-84.41532
LARCENY,201271127,5/6/2020,1841 ROGERS AVE SW,404,Westwood Terrace,I,33.73752,-84.44802
AUTO THEFT,201271170,5/6/2020,501 PULLIAM ST SW,303,Mechanicsville,V,33.74038,-84.39273
BURGLARY,201271194,5/6/2020,3635 CROSBY DR NW,114,Carroll Heights,H,33.77428,-84.50826
LARCENY,201271240,5/6/2020,746 MAYLAND AVE SW,301,Adair Park,V,33.72643,-84.41145
AUTO THEFT,201271253,5/6/2020,1930 FLAT SHOALS RD SE,612,East Atlanta,W,33.72736,-84.3247
LARCENY,201271259,5/6/2020,144 PONCE DE LEON AVE NE ,505,Midtown,E,33.77255,-84.38249
LARCENY,201271276,5/6/2020,328 7TH ST NE,614,Midtown,E,33.77808,-84.37656
AUTO THEFT,201271356,5/6/2020,691 JOHN WESLEY DOBBS AVE NE,604,Old Fourth Ward,M,33.75901,-84.36484
AUTO THEFT,201271392,5/6/2020,3755 CARMIA DR SW,414,Princeton Lakes,P,33.6569,-84.51004
LARCENY,201271462,5/6/2020,552 DECATUR ST SE,604,Old Fourth Ward,M,33.75228,-84.36945
AGG ASSAULT,201271466,5/6/2020,443 LINDSEY DR SE,310,Lakewood,Z,33.69443,-84.37453
LARCENY,201271537,5/6/2020,1587 HOWELL MILL RD NW,207,Berkeley Park,D,33.79835,-84.41575
LARCENY,201271566,5/6/2020,2020 HOWELL MILL RD NW ,205,Channing Valley,C,33.80944,-84.41286
LARCENY,201271588,5/6/2020,1117 LEE ST SW,402,Oakland City,S,33.72459,-84.42107
AGG ASSAULT,201271649,5/6/2020,2909 CAMPBELLTON RD SW,409,Southwest,R,33.69869,-84.48265
AUTO THEFT,201271652,5/6/2020,2465 WARREN RD NW,201,Ridgewood Heights,C,33.82291,-84.44514
LARCENY,201271767,5/6/2020,842 PEACHTREE ST NE,505,Midtown,E,33.77756,-84.38482
ROBBERY,201271774,5/6/2020,745 CRESTWELL CIR SW,407,Mays,H,33.74536,-84.50407
BURGLARY,201271806,5/6/2020,425 NEW JERSEY,107,Grove Park,J,33.76684,-84.45571
LARCENY,201271852,5/6/2020,340 ALLENDALE DR SE,611,East Lake,O,33.74326,-84.29486
BURGLARY,201271937,5/6/2020,125 HUNNICUTT ST NW,504,Downtown,M,33.76671,-84.39162
ROBBERY,201271978,5/6/2020,2132 MARTIN L KING JR DR SW,405,Florida Heights,I,33.75042,-84.4579
AUTO THEFT,201278065,5/6/2020,2351 RENTAL CAR CENTER PKWY SW,707,,,0,0
BURGLARY,201230696,5/6/2020,183 MOUNT ZION RD,312,Glenrose Heights,Z,33.67268,-84.38507
LARCENY,201260072,5/5/2020,W PACES FERRY RD NW / NORTHSIDE DR NW,202,Randall Mill,A,33.84958,-84.42962
AUTO THEFT,201260103,5/5/2020,1078 HANK AARON DR SE,304,Peoplestown,V,33.72547,-84.38806
LARCENY,201260128,5/5/2020,1617 JOSEPH E BOONE BLVD NW,107,Grove Park,J,33.76385,-84.44072
BURGLARY,201260142,5/5/2020,120 THE PRADO NE,502,Ansley Park,E,33.79241,-84.37875
LARCENY,201260163,5/5/2020,400 EDGEWOOD AVE NE,604,Sweet Auburn,M,33.75464,-84.37465
LARCENY,201260188,5/5/2020,979 FARRINGTON PL SE,304,Peoplestown,V,33.72773,-84.38084
LARCENY,201260315,5/5/2020,1048 MARTIN STREET,304,Peoplestown,V,33.72586,-84.38365
LARCENY,201260336,5/5/2020,1732 PRYOR RD SW,307,Betmar LaVilla,Y,33.70788,-84.39566
BURGLARY,201260366,5/5/2020,1060 SAINT CHARLES AVE NE,601,Virginia Highland,F,33.7755,-84.35308
LARCENY,201260369,5/5/2020,1193 LEE ST SW,403,Oakland City,S,33.72261,-84.42302
AUTO THEFT,201260398,5/5/2020,1305 MCLENDON AVE NE,608,Candler Park,N,33.76465,-84.3448
LARCENY,201260552,5/5/2020,725 PONCE DE LEON AVE NE @BELTLINE BUSINESS,602,Poncey-Highland,N,33.77343,-84.36351
BURGLARY,201260556,5/5/2020,62 HARWELL RD NW,111,,I,33.75367,-84.493
LARCENY,201260627,5/5/2020,3311 W SHADOWLAWN AVE NE,208,Buckhead Forest,B,33.84587,-84.37575
LARCENY,201260629,5/5/2020,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521
LARCENY,201260654,5/5/2020,1177 JOSEPH E BOONE BLVD NW,106,Bankhead,K,33.76449,-84.4259
ROBBERY,201260676,5/5/2020,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
LARCENY,201260863,5/5/2020,411 10TH ST NE,503,Midtown,E,33.78142,-84.3737
AUTO THEFT,201260868,5/5/2020,1058 EUCLID AVE NE,602,Inman Park,N,33.76306,-84.35275
LARCENY,201260912,5/5/2020,25 PEACHTREE ST SE,510,Downtown,M,33.75445,-84.38954
LARCENY,201260990,5/5/2020,2331 MACON DR SW,310,Browns Mill Park,Z,33.69041,-84.39218
LARCENY,201261016,5/5/2020,72 MARIETTA ST NW @ATL JOURNAL,511,Downtown,M,33.75574,-84.39293
AUTO THEFT,201261055,5/5/2020,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341
LARCENY,201261056,5/5/2020,656 N HIGHLAND AVE NE,602,Poncey-Highland,N,33.77218,-84.35261
LARCENY,201261069,5/5/2020,1200 GLENWOOD AVE SE,612,East Atlanta,W,33.74052,-84.34797
LARCENY,201261096,5/5/2020,347 ARCHER WAY NW,106,Bankhead,K,33.76436,-84.42365
AGG ASSAULT,201261118,5/5/2020,760 N EVELYN PL NW,110,Grove Park,J,33.77569,-84.44632
AGG ASSAULT,201261125,5/5/2020,1073 PIEDMONT AVE NE @PIEDMONT PARK,502,Midtown,E,33.78384,-84.37897
LARCENY,201261150,5/5/2020,725 W PEACHTREE ST NE,505,Midtown,E,33.77437,-84.38722
LARCENY,201261259,5/5/2020,2358 TERRACE VIEW CIR SW,310,Browns Mill Park,Z,33.68691,-84.39427
LARCENY,201261272,5/5/2020,626 KENT ST SE ,605,Grant Park,W,33.7375,-84.37721
AGG ASSAULT,201261276,5/5/2020,810 MAGNOLIA WAY,102,Vine City,L,33.75805,-84.41413
AUTO THEFT,201261344,5/5/2020,297 E PACES FERRY RD NE,206,Buckhead Village,B,33.83893,-84.37852
LARCENY,201261377,5/5/2020,474 KELLY ST SE,605,Grant Park,W,33.74175,-84.38026
LARCENY,201261466,5/5/2020,2755 CAMPBELLTON RD SW,409,Southwest,R,33.70235,-84.47822
BURGLARY,201261483,5/5/2020,1660 PEACHTREE ST NW,502,Midtown,E,33.79874,-84.39164
AGG ASSAULT,201261496,5/5/2020,25 PARK PL NE,510,Downtown,M,33.7552,-84.38805
LARCENY,201261513,5/5/2020,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.82386,-84.36348
LARCENY,201261516,5/5/2020,223 MORELAND AVE SE,606,Reynoldstown,N,33.74735,-84.34933
LARCENY,201261554,5/5/2020,385 N ANGIER AVE NE,603,Old Fourth Ward,M,33.76943,-84.36375
LARCENY,201261623,5/5/2020,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.71771,-84.52315
AGG ASSAULT,201261712,5/5/2020,1774 CAMPBELLTON RD SW,408,,R,33.71095,-84.44549
AUTO THEFT,201261749,5/5/2020,576 LEE ST SW,401,West End,T,33.7395,-84.41397
LARCENY,201261910,5/5/2020,180 PONCE DE LEON AVE NE,505,Midtown,E,33.77285,-84.38149
AGG ASSAULT,201251658,5/5/2020,855 PEACHTREE ST NE,505,Midtown,E,33.77798,-84.38389
LARCENY,201251678,5/4/2020,1722 CAMPBELLTON RD SW,408,,R,33.71107,-84.44411
ROBBERY,201251699,5/4/2020,GUN CLUB RD NW / HOLLYWOOD DR NW,110,Grove Park,J,33.78155,-84.45584
AGG ASSAULT,201251718,5/4/2020,356 BOULEVARD NE,603,Old Fourth Ward,M,33.76421,-84.37206
LARCENY,201251732,5/4/2020,1521 PEACHTREE ST NE,502,Midtown,E,33.79607,-84.38745
LARCENY,201251798,5/4/2020,3176 PEACHTREE RD NE,208,Buckhead Forest,B,33.84099,-84.37658
LARCENY,201241603,5/4/2020,3730 CARMIA DR,414,Princeton Lakes,P,33.65573,-84.5109
LARCENY,201240963,5/4/2020,291 ALASKA AVE NE,604,Old Fourth Ward,M,33.76229,-84.3625
HOMICIDE,201241777,5/4/2020,2852 EMERALD CT SW,405,Harland Terrace,I,33.75134,-84.48196
AGG ASSAULT,201250094,5/4/2020,262 ARTHUR LANGFORD JR PL SW,307,Joyland,Y,33.71412,-84.39753
ROBBERY,201250132,5/4/2020,86 WASHINGTON ST SW,512,Downtown,M,33.74982,-84.38849
LARCENY,201250135,5/4/2020,4423  GLENGARY DR NE,209,North Buckhead,B,33.87459,-84.36183
ROBBERY,201250148,5/4/2020,178 MOURY AVE SW,305,The Villages at Carver,Y,33.71347,-84.39079
AGG ASSAULT,201250229,5/4/2020,1939 HANDLEY AVE SW,404,Westwood Terrace,I,33.73517,-84.45112
LARCENY,201250277,5/4/2020,923 PIEDMONT AVE NE,503,Midtown,E,33.77984,-84.38056
AUTO THEFT,201250423,5/4/2020,565 MCDANIEL ST,303,Mechanicsville,V,33.73977,-84.40237
LARCENY,201250456,5/4/2020,639 MOROSGO DR NE,211,Lindbergh/Morosgo,B,33.82329,-84.36696
LARCENY,201250474,5/4/2020,1193 LEE ST SW,403,Oakland City,S,33.72261,-84.42302
AUTO THEFT,201250514,5/4/2020,2269 STAR MIST DR SW,409,Southwest,R,33.69455,-84.49055
LARCENY,201250629,5/4/2020,1171 OAK ST SW,401,West End,T,33.74104,-84.42616
ROBBERY,201250652,5/4/2020,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521
LARCENY,201250865,5/4/2020,116 PONCE DE LEON AVE NE,505,Midtown,E,33.77248,-84.38382
HOMICIDE,201250898,5/4/2020,2125 SOUTHWOOD CV SW,412,Ben Hill Terrace,P,33.69653,-84.51827
BURGLARY,201250916,5/4/2020,500 RICHARD ALLEN BLVD SW,407,Fairburn Mays,H,33.74054,-84.51162
BURGLARY,201250942,5/4/2020,898 ROSE CIR SW,401,West End,T,33.73052,-84.41719
LARCENY,201250944,5/4/2020,842 PEACHTREE ST,505,Midtown,E,33.77756,-84.38482
LARCENY,201251007,5/4/2020,3385 RILMAN RD NW,202,West Paces Ferry/Northside,A,33.84729,-84.41896
ROBBERY,201251028,5/4/2020,55 MONTCLAIR DR NE,207,Brookwood Hills,E,33.80754,-84.3916
AUTO THEFT,201251030,5/4/2020,2098 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70645,-84.45715
LARCENY,201251032,5/4/2020,3785 N STRATFORD RD NE,209,North Buckhead,B,33.85909,-84.36735
ROBBERY,201251047,5/4/2020,2572 LENOX RD NE,210,Pine Hills,B,33.82517,-84.35295
LARCENY,201251079,5/4/2020,85 JOHN WESLEY DOBBS AVE NE,510,Downtown,M,33.75684,-84.38475
AGG ASSAULT,201251126,5/4/2020,428 MORELAND AVE NE,602,Inman Park,N,33.76614,-84.34917
AUTO THEFT,201251132,5/4/2020,1835 HENRY THOMAS DR,308,Thomasville Heights,Z,33.70434,-84.35681
BURGLARY,201251173,5/4/2020,520 IRWIN ST NE,604,Old Fourth Ward,M,33.75772,-84.37067
LARCENY,201251181,5/4/2020,4055 ROSWELL RD NE,209,North Buckhead,B,33.86584,-84.37985
LARCENY,201251243,5/4/2020,1723 LAKEWOOD AVE,307,Lakewood Heights,Y,33.70678,-84.38031
AUTO THEFT,201251263,5/4/2020,1096 IRA ST SW,302,Pittsburgh,V,33.72501,-84.39979
LARCENY,201251278,5/4/2020,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457
LARCENY,201251286,5/4/2020,2175 METROPOLITAN PKWY SW,309,Perkerson,X,33.69418,-84.40848
LARCENY,201251287,5/4/2020,650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE,614,Midtown,E,33.77469,-84.36561
LARCENY,201251340,5/4/2020,3390 FAIRBURN RD SW,414,Ben Hill,P,33.6639,-84.52377
LARCENY,201251351,5/4/2020,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457
LARCENY,201251386,5/4/2020,609 VIRGINIA AVE NE,601,Virginia Highland,F,33.78122,-84.36635
AGG ASSAULT,201251390,5/4/2020,532 CLEVELAND AVE SW,311,Hammond Park,X,33.68116,-84.4059
AGG ASSAULT,201251391,5/4/2020,1039 LEE ST SW,402,Oakland City,S,33.72633,-84.41908
AGG ASSAULT,201251430,5/4/2020,1220 GUN CLUB RD NW,110,Almond Park,G,33.78793,-84.45845
ROBBERY,201251448,5/4/2020,ALABAMA ST SW / BROAD ST SW,511,Downtown,M,33.75352,-84.39189
AGG ASSAULT,201251505,5/4/2020,2192 CHINABERRY WAY SW,411,Greenbriar,R,33.69548,-84.4789
LARCENY,201251551,5/4/2020,44 FORSYTH ST NW,508,Downtown,M,33.75588,-84.39058
BURGLARY,201230814,5/4/2020,1990 JONESBORO RD SE @CHESTNUT HILL CEM,308,Norwood Manor,Z,33.70042,-84.37058
ROBBERY,201231877,5/3/2020,66 DECATUR ST SE,510,Downtown,M,33.75326,-84.3877
AGG ASSAULT,201240085,5/3/2020,648 COOPER ST SW,303,Mechanicsville,V,33.7369,-84.39706
AGG ASSAULT,201240298,5/3/2020,62 HARWELL RD NW,111,,I,33.7538,-84.493
AGG ASSAULT,201240342,5/3/2020,2686 HOOD AVE NW,109,Center Hill,J,33.7684,-84.46962
LARCENY,201240606,5/3/2020,2544 PEACHTREE RD NW,206,Peachtree Heights West,B,33.82412,-84.38755
LARCENY,201240635,5/3/2020,1683 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.7083,-84.38035
LARCENY,201240662,5/3/2020,202 16TH ST NW,501,Home Park,E,33.78984,-84.39343
BURGLARY,201240680,5/3/2020,1307 LORENZO DR SW,403,Venetian Hills,S,33.71939,-84.43285
AUTO THEFT,201240728,5/3/2020,1909 RED EAGLE WALK NW,103,Bolton,D,33.81147,-84.45227
BURGLARY,201240752,5/3/2020,2141 MACON DR SW,310,Polar Rock,Z,33.69587,-84.38986
LARCENY,201240806,5/3/2020,257 SCIPLE TER NW,102,Vine City,L,33.7618,-84.41502
LARCENY,201240837,5/3/2020,3249 WELMINGHAM DR SW,414,Princeton Lakes,P,33.66323,-84.51893
LARCENY,201241030,5/3/2020,498 ENGLISH AVE NW,506,English Avenue,L,33.7681,-84.41374
AGG ASSAULT,201241077,5/3/2020,2129 MARTIN L KING JR DR NW,108,Florida Heights,I,33.7512,-84.45836
AGG ASSAULT,201241081,5/3/2020,3825 STONE RD SW,413,Ben Hill Pines,P,33.68462,-84.51007
LARCENY,201241088,5/3/2020,881 STONE CREST RD,210,Pine Hills,B,33.82689,-84.35176
LARCENY,201241101,5/3/2020,1225 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75605,-84.34813
AGG ASSAULT,201241126,5/3/2020,965  MARGARET PL NW,110,Grove Park,J,33.78065,-84.44826
LARCENY,201241241,5/3/2020,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457
LARCENY,201241268,5/3/2020,111 BOULEVARD NE,604,Old Fourth Ward,M,33.75734,-84.3718
LARCENY,201241274,5/3/2020,529 PEACHTREE ST NE,509,Downtown,M,33.76896,-84.38487
LARCENY,201241329,5/3/2020,3620 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.65427,-84.50738
AUTO THEFT,201241399,5/3/2020,3849 BROWNS MILL RD SW,312,Glenrose Heights,Z,33.65279,-84.39361
LARCENY,201241429,5/3/2020,800 GLENWOOD AVE SE,605,Grant Park,W,33.74234,-84.36002
LARCENY,201241483,5/3/2020,236 WESTMINSTER DR NE,502,,E,33.79326,-84.37273
LARCENY,201241486,5/3/2020,3 FAIRBURN RD SW,407,Adamsville,H,33.75929,-84.50557
LARCENY,201241494,5/3/2020,1831 WALTHALL DR NW,205,Collier Hills,C,33.81105,-84.40388
LARCENY,201241560,5/3/2020,16 CHASTAIN PARK AVE NW,202,Chastain Park,A,33.87694,-84.38782
AGG ASSAULT,201241649,5/3/2020,180 PONCE DE LEON AVE NE,505,Midtown,E,33.77285,-84.38149
LARCENY,201241767,5/3/2020,3143 HICKMAN DR NW,111,,I,33.75514,-84.48984
AGG ASSAULT,201231890,5/2/2020,246 ROSSER ST,104,Ashview Heights,T,33.74824,-84.42414
AGG ASSAULT,201232048,5/2/2020,590 CASCADE AVE SW,402,West End,T,33.73856,-84.43407
AGG ASSAULT,201232083,5/2/2020,897 BRIARCLIFF TER NE,601,Virginia Highland,F,33.77909,-84.35006
LARCENY,201230006,5/2/2020,3833 PRINCETON LAKES CT SW,414,Princeton Lakes,P,33.65738,-84.51309
BURGLARY,201230260,5/2/2020,2045 SPRINGLAKE CT NW,205,Springlake,C,33.81024,-84.40942
BURGLARY,201230517,5/2/2020,3734 MARTIN L KING JR DR SW,407,Adamsville,H,33.76494,-84.51081
LARCENY,201230553,5/2/2020,253 10TH ST NE,503,Midtown,E,33.78179,-84.37941
LARCENY,201230609,5/2/2020,4202 RENAISSANCE WAY NE,603,Old Fourth Ward,M,33.76605,-84.37855
LARCENY,201230633,5/2/2020,2184 RADCLIFFE DR NW,205,Wildwood (NPU-C),C,33.81456,-84.41694
LARCENY,201230652,5/2/2020,79 BATES AVE NE,610,Kirkwood,O,33.75401,-84.31716
AGG ASSAULT,201230837,5/2/2020,1218 JOSEPH E BOONE BLVD NW,105,Hunter Hills,K,33.76324,-84.42748
LARCENY,201230864,5/2/2020,4485 CAMPBELLTON RD SW,412,,P,33.69621,-84.53394
LARCENY,201230908,5/2/2020,2311 FONTAINE AVE SW,409,Adams Park,R,33.72177,-84.46228
AUTO THEFT,201230950,5/2/2020,363 HILL ST SE,605,Grant Park,W,33.74477,-84.37964
AGG ASSAULT,201230992,5/2/2020,3584 FAIRLANE DR NW,114,Fairburn Heights,H,33.76645,-84.50492
AGG ASSAULT,201230996,5/2/2020,2960 MIDDLETON RD NW,111,,I,33.75267,-84.48809
LARCENY,201231111,5/2/2020,720 DONALD LEE HOLLOWELL PKWY NW,506,English Avenue,L,33.77276,-84.41089
LARCENY,201231117,5/2/2020,20 BROAD ST SW,511,Downtown,M,33.75312,-84.39208
LARCENY,201231193,5/2/2020,400 W PEACHTREE ST NW,504,Downtown,M,33.76614,-84.3876
LARCENY,201231230,5/2/2020,110 MORELAND AVE,606,Edgewood,O,33.75499,-84.33896
